date,hour,end_hour,start_station_id,end_station_id,day_type,trips
2018-10-08,1,2,248,275,1,1
2018-10-08,5,6,262,250,1,1
2018-10-08,5,7,264,171,1,1
2018-10-08,6,7,183,225,1,1
2018-10-08,6,7,250,262,1,1
2018-10-08,6,8,273,248,1,1
2018-10-08,7,8,257,250,1,1
2018-10-08,7,8,260,189,1,1
2018-10-08,7,8,275,225,1,1
2018-10-08,7,9,264,171,1,1
2018-10-08,7,9,275,248,1,1
2018-10-08,7,9,275,253,1,1
2018-10-08,8,9,246,254,1,1
2018-10-08,8,9,253,265,1,1
2018-10-08,8,9,264,171,1,1
2018-10-08,8,9,265,253,1,1
2018-10-08,8,10,257,250,1,1
2018-10-08,9,10,183,171,1,1
2018-10-08,9,11,171,264,1,1
2018-10-08,10,11,249,171,1,1
2018-10-08,10,11,249,253,1,1
2018-10-08,10,11,249,260,1,1
2018-10-08,10,11,261,258,1,1
2018-10-08,10,12,262,266,1,1
2018-10-08,11,12,246,265,1,1
2018-10-08,11,12,249,171,1,1
2018-10-08,11,12,249,248,1,1
2018-10-08,11,12,260,249,1,1
2018-10-08,11,12,261,257,1,1
2018-10-08,12,13,183,273,1,1
2018-10-08,12,13,249,258,1,1
2018-10-08,12,13,261,254,1,1
2018-10-08,12,14,258,262,1,1
2018-10-08,13,14,246,248,1,1
2018-10-08,13,15,257,261,1,1
2018-10-08,14,15,225,183,1,1
2018-10-08,14,16,248,183,1,1
2018-10-08,14,16,254,248,1,1
2018-10-08,14,16,260,183,1,1
2018-10-08,15,16,171,261,1,1
2018-10-08,15,16,254,246,1,1
2018-10-08,15,16,260,265,1,1
2018-10-08,15,16,264,183,1,2
2018-10-08,15,17,260,257,1,1
2018-10-08,15,17,261,265,1,1
2018-10-08,15,18,189,275,1,1
2018-10-08,15,19,189,275,1,1
2018-10-08,16,17,189,260,1,1
2018-10-08,16,17,248,250,1,1
2018-10-08,16,17,248,275,1,1
2018-10-08,16,17,251,261,1,1
2018-10-08,16,17,259,258,1,1
2018-10-08,16,17,265,249,1,1
2018-10-08,16,18,171,253,1,1
2018-10-08,16,18,250,257,1,1
2018-10-08,16,18,253,249,1,1
